cuda:1
cuda:1
cuda:1
cuda:0
train image number:3629
iter [226/10000], loss:0.2056
iter [452/10000], loss:0.0897
iter [678/10000], loss:0.0736
iter [904/10000], loss:0.0673
iter [1130/10000], loss:0.0629
iter [1356/10000], loss:0.0611
iter [1582/10000], loss:0.0600
iter [1808/10000], loss:0.0590
iter [2034/10000], loss:0.0581
iter [2260/10000], loss:0.0574
iter [2486/10000], loss:0.0565
iter [2712/10000], loss:0.0558
iter [2938/10000], loss:0.0885
iter [3164/10000], loss:0.0601
iter [3390/10000], loss:0.0571
iter [3616/10000], loss:0.0558
iter [3842/10000], loss:0.0550
iter [4068/10000], loss:0.0542
iter [4294/10000], loss:0.0536
iter [4520/10000], loss:0.0531
iter [4746/10000], loss:0.0527
iter [4972/10000], loss:0.0523
